Movie Title,Studio,Weekend Date,Opening Revenue
Battlefield Earth,WB,5/12/2000,"$11,548,898"
How Stella Got Her Groove Back,Fox,8/14/1998,"$11,318,919"
Last Action Hero,Col.,6/18/1993,"$15,338,241"
The Expendables,LGF,8/13/2010,"$34,825,135"
It's Complicated,Uni.,12/25/2009,"$22,100,820"
Valentine's Day,WB,2/12/2010,"$56,260,707"
102 Dalmatians,BV,11/22/2000,"$19,883,351"
Peter Pan,Uni.,12/25/2003,"$11,139,495"
The Score,Par.,7/13/2001,"$19,018,807"
"Crazy, Stupid, Love.",WB,7/29/2011,"$19,104,303"
Never Been Kissed,Fox,4/9/1999,"$11,836,707"
Something Borrowed,WB,5/6/2011,"$13,945,368"
The Rite,WB (NL),1/28/2011,"$14,789,393"
The Birdcage,MGM,3/8/1996,"$18,275,828"
Pokemon: The Movie 2000,WB,7/21/2000,"$19,575,608"
Halloween: H20,Dim.,8/7/1998,"$16,187,724"
Black Knight,Fox,11/21/2001,"$11,102,948"
The Taking of Pelham 1 2 3,Sony,6/12/2009,"$23,373,102"
50 First Dates,Sony,2/13/2004,"$39,852,237"
Showtime,WB,3/15/2002,"$15,011,430"
Prince of Persia: The Sands of Time,BV,5/28/2010,"$30,095,259"
Enchanted,BV,11/21/2007,"$34,440,317"
Paycheck,Par.,12/25/2003,"$13,462,374"
Leatherheads,Uni.,4/4/2008,"$12,682,595"
Practical Magic,WB,10/16/1998,"$13,104,694"
Independence Day,Fox,7/3/1996,"$50,228,264"
Friday the 13th: Final Chapter,Par.,4/13/1984,"$11,183,148"
Freaky Friday,BV,8/6/2003,"$22,203,007"
Small Soldiers,DW,7/10/1998,"$14,047,592"
Apocalypto,BV,12/8/2006,"$15,005,604"
ParaNorman,Focus,8/17/2012,"$14,087,050"
Transformers,P/DW,7/3/2007,"$70,502,384"
Tropic Thunder,P/DW,8/13/2008,"$25,812,796"
Righteous Kill,Over.,9/12/2008,"$16,288,361"
Doctor Dolittle,Fox,6/26/1998,"$29,014,324"
Under Siege 2: Dark Territory,WB,7/14/1995,"$12,624,402"
Rambo III,TriS,5/25/1988,"$13,034,238"
The Amazing Spider-Man,Sony,7/3/2012,"$62,004,688"
Scary Movie 2,Mira.,7/4/2001,"$20,503,356"
The Lincoln Lawyer,LGF,3/18/2011,"$13,206,453"
The Texas Chainsaw Massacre: The Beginning,NL,10/6/2006,"$18,508,228"
Just Married,Fox,1/10/2003,"$17,548,993"
Superman II,WB,,"$14,100,523"
Sister Act,BV,5/29/1992,"$11,894,587"
This Is 40,Uni.,12/21/2012,"$11,579,175"
The Thomas Crown Affair,MGM,8/6/1999,"$14,600,719"
The Family Stone,Fox,12/16/2005,"$12,521,027"
The Prestige,BV,10/20/2006,"$14,801,808"
Bird on a Wire,Uni.,5/18/1990,"$15,338,160"
E.T. (20th Anniversary),Uni.,3/22/2002,"$14,223,110"
The Santa Clause 2,BV,11/1/2002,"$29,008,696"
Breach,Uni.,2/16/2007,"$10,504,990"
Resident Evil: Extinction,SGem,9/21/2007,"$23,678,580"
Instinct,BV,6/4/1999,"$10,390,387"
RV,Sony,4/28/2006,"$16,414,767"
Fame (2009),MGM,9/25/2009,"$10,011,682"
Hairspray (2007),NL,7/20/2007,"$27,476,745"
Year One,Sony,6/19/2009,"$19,610,304"
The Ring Two,DW,3/18/2005,"$35,065,237"
Tim Burton's Corpse Bride,WB,9/23/2005,"$19,145,480"
The SpongeBob SquarePants Movie,Par.,11/19/2004,"$32,018,216"
The Little Rascals,Uni.,8/5/1994,"$10,028,065"
Machete,Fox,9/3/2010,"$11,416,164"
Red Eye,DW,8/19/2005,"$16,167,662"
K-PAX,Uni.,10/26/2001,"$17,215,275"
Letters to Juliet,Sum.,5/14/2010,"$13,540,486"
Arthur Christmas,Sony,11/23/2011,"$12,068,931"
Charlie's Angels: Full Throttle,Sony,6/27/2003,"$37,634,221"
Volcano,Fox,4/25/1997,"$14,581,740"
Next Friday,NL,1/12/2000,"$14,465,156"
"I, Robot",Fox,7/16/2004,"$52,179,887"
Primary Colors,Uni.,3/20/1998,"$12,045,395"
School of Rock,Par.,10/3/2003,"$19,622,714"
In Time,Fox,10/28/2011,"$12,050,368"
Star Trek,Par.,5/8/2009,"$75,204,289"
Predators,Fox,7/9/2010,"$24,760,882"
A Good Day to Die Hard,Fox,2/14/2013,"$24,834,845"
Hollywood Homicide,SonR,6/13/2003,"$11,112,632"
Unlawful Entry,Fox,6/26/1992,"$10,067,609"
Little Man,SonR,7/14/2006,"$21,613,176"
The Empire Strikes Back,Fox,,"$10,840,307"
The Game Plan,BV,9/28/2007,"$22,950,971"
Fantastic Four: Rise of the Silver Surfer,Fox,6/15/2007,"$58,051,684"
The Village,BV,7/30/2004,"$50,746,142"
The Bourne Ultimatum,Uni.,8/3/2007,"$69,283,690"
The Naked Gun 2 1/2: The Smell of Fear,Par.,6/28/1991,"$20,817,139"
No Reservations,WB,7/27/2007,"$11,704,357"
Failure to Launch,Par.,3/10/2006,"$24,411,322"
What a Girl Wants,WB,4/4/2003,"$11,434,964"
Blade II,NL,3/22/2002,"$32,528,016"
The Other Guys,Sony,8/6/2010,"$35,543,162"
Pearl Harbor,BV,5/25/2001,"$59,078,912"
X2: X-Men United,Fox,5/2/2003,"$85,558,731"
The Sixth Sense,BV,8/6/1999,"$26,681,262"
Wild Hogs,BV,3/2/2007,"$39,699,023"
2012,Sony,11/13/2009,"$65,237,614"
Something to Talk About,WB,8/4/1995,"$11,115,697"
Beauty Shop,MGM,3/30/2005,"$12,801,465"
Inspector Gadget,BV,7/23/1999,"$21,889,138"
The Passion of the Christ,NM,2/25/2004,"$83,848,082"
She's the Man,P/DW,3/17/2006,"$10,730,372"
Enemy at the Gates,Par.,3/16/2001,"$13,810,266"
The Roommate,SGem,2/4/2011,"$15,002,635"
Man on Fire,Fox,4/23/2004,"$22,751,490"
9,Focus,9/9/2009,"$10,740,446"
Snakes on a Plane,NL,8/18/2006,"$13,806,311"
Abduction,LGF,9/23/2011,"$10,925,253"
Like Mike,Fox,7/3/2002,"$12,179,420"
The Ladykillers,BV,3/26/2004,"$12,634,563"
New Year's Eve,WB (NL),12/9/2011,"$13,019,180"
The Grey,ORF,1/27/2012,"$19,665,101"
Lethal Weapon 2,WB,7/7/1989,"$20,388,800"
Man of the Year,Uni.,10/13/2006,"$12,299,380"
Anacondas: The Hunt for the Blood Orchid,SGem,8/27/2004,"$12,812,287"
Julie &amp; Julia,Sony,8/7/2009,"$20,027,956"
Glory Road,BV,1/13/2006,"$13,594,734"
Private Parts,Par.,3/7/1997,"$14,616,333"
A Perfect Murder,WB,6/5/1998,"$16,615,704"
The Last Mimzy,NL,3/23/2007,"$10,024,819"
Stargate,MGM,10/28/1994,"$16,651,018"
Fantastic Four,Fox,7/8/2005,"$56,061,504"
Speed Racer,WB,5/9/2008,"$18,561,337"
Sliver,Par.,5/21/1993,"$12,138,283"
Lethal Weapon 3,WB,5/15/1992,"$33,243,086"
Good Boy!,MGM,10/10/2003,"$13,107,022"
Striptease,Sony,6/28/1996,"$12,322,069"
Batman Forever,WB,6/16/1995,"$52,784,433"
